ID,Type,TS,HD,Zeta,Charge,Shape,TM,CT,TSz,TW,Dose,BW,DE24,DE168,Demax,KTRESrelease,KTRESmax,KTRES50,KTRESn,QTC,VTC,BVT,PT,PATC
140,Organic,Passive,87.1,0.47,0,Spherical,Allograft Heterotopic,Colon,0.1,0.12,1.3,22,0.19,0.08,0.22,0.05,0.11,24,0.9,0.02,0.0055,0.02,0.039,0.0058
141,Organic,Passive,64.21,0.39,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,10,20,0.63,0.7,0.88,0.01,0.4,48,8,0.02,0.006,0.02,0.151,0.0009
142,Organic,Active,68.35,1.07,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,10,20,0.58,0.74,0.89,0.005,0.4,48,8,0.02,0.006,0.02,0.138,0.00095
143,Organic,Active,69.22,1.98,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,10,20,0.7,0.89,1.07,0.005,0.4,48,8,0.02,0.006,0.02,0.165,0.00125
144,Organic,Active,72.51,2.3,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,10,20,0.66,0.85,1.02,0.005,0.4,48,8,0.02,0.006,0.02,0.157,0.00115
145,Organic,Active,77.47,6.95,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,10,20,0.76,0.96,1.15,0.005,0.4,48,8,0.02,0.006,0.02,0.18,0.00115
146,Organic,Active,91.29,9.25,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,10,20,0.74,0.95,1.15,0.005,0.4,48,8,0.02,0.006,0.02,0.175,0.00155
147,Organic,Passive,40,2,0,Spherical,Allograft Heterotopic,Colon,NA,0.2,5,20,1.08,0.85,2.02,0.07,0.24,15,2.5,0.02,0.01,0.02,0.135,0.00042
148,Organic,Active,22.5,0,2,Spherical,Allograft Orthotopic,Breast,0.625,0.75,13.2,19,3.87,3.99,5.82,0.0089,0.091,6,0.8,0.02,0.0395,0.02,0.095,0.007
149,Organic,Passive,65,2,0,Spherical,Allograft Heterotopic,Colon,0.1,0.12,10,20,1.07,0.55,1.35,0.035,0.19,120,0.1,0.02,0.006,0.02,0.143,0.00255
150,Organic,Passive,221.6,NA,NA,Spherical,Allograft Heterotopic,Other,0.35,0.4,20,30,2.16,1.58,2.45,0.01,0.5,72,5,0.02,0.0133,0.02,0.245,0.0016
151,Organic,Active,20,NA,NA,Spherical,Xenograft Heterotopic,Cervix,NA,0.055,4,23,0.23,0.06,0.25,0.8,1.5,0.05,0.3,0.02,0.0024,0.02,0.053,0.01
152,Organic,Passive,20,NA,NA,Spherical,Xenograft Heterotopic,Cervix,NA,0.055,4,23,0.31,0.09,0.34,0.37,0.91,0.05,0.6,0.02,0.0024,0.02,0.057,0.0021
153,Organic,Passive,133.5,15.8,0,Spherical,Allograft Heterotopic,Breast,1,1.2,11.1,28,0.8,0.22,0.91,1,1,0.05,5,0.02,0.037,0.02,0.015,0.005
154,Organic,Passive,149.2,13.2,0,Spherical,Allograft Heterotopic,Liver,0.1,0.12,100,20,10.67,2.92,12.47,7,25,0.05,3,0.02,0.006,0.02,0.6,0.15
155,Organic,Passive,157.3,23.2,0,Spherical,Allograft Heterotopic,Liver,0.1,0.12,100,20,9.01,2.45,10.56,7.6,25,0.05,3,0.02,0.006,0.02,0.53,0.11
156,Organic,Passive,156,38.4,0,Spherical,Allograft Heterotopic,Liver,0.1,0.12,100,20,8.4,2.28,9.9,7.8,25,0.05,3,0.02,0.006,0.02,0.5,0.15
157,Organic,Passive,456.5,25.1,0,Spherical,Allograft Heterotopic,Liver,0.1,0.12,100,20,4.13,1.21,4.74,0.005,0.1,120,5,0.02,0.006,0.02,1.02,0.006
158,Organic,Passive,150.1,14.8,1,Spherical,Allograft Heterotopic,Liver,0.1,0.12,15,20,2.43,0.65,2.85,3,12,0.05,2,0.02,0.006,0.02,0.115,0.025
159,Organic,Passive,150.6,25.5,1,Spherical,Allograft Heterotopic,Liver,0.1,0.12,15,20,3.54,0.94,4.16,4.6,17,0.05,2,0.02,0.006,0.02,0.18,0.035
160,Organic,Passive,152.7,34.6,1,Spherical,Allograft Heterotopic,Liver,0.1,0.12,15,20,4.36,1.17,5.09,3.85,16.5,0.05,2,0.02,0.006,0.02,0.2,0.025
161,Organic,Passive,300.7,24.4,1,Spherical,Allograft Heterotopic,Liver,0.1,0.12,15,20,2.38,0.64,2.78,6.5,18,0.05,2,0.02,0.006,0.02,0.15,0.008
162,Organic,Passive,40,4,0,Spherical,Allograft Heterotopic,Colon,0.1,0.12,5,19,0.98,0.75,1.81,0.075,0.24,15,2.5,0.02,0.01,0.02,0.125,0.00036
163,Organic,Passive,399,38.1,1,Spherical,Allograft Heterotopic,Breast,1.8,2.16,0.0545,27,0.58,0.16,0.67,2.5,0.7,3,0.05,0.02,0.0785,0.02,0.009,0.00115
164,Organic,Passive,276,16.4,1,Spherical,Allograft Heterotopic,Breast,1.8,2.16,0.3636,27,3.2,0.89,3.64,2.5,0.65,3,0.05,0.02,0.0785,0.02,0.052,0.0043
165,Organic,Active,37,2,0,Flake,Allograft Heterotopic,Breast,0.175,0.21,5,20,1.05,0.44,1.24,0.05,0.5,66,4.5,0.02,0.0105,0.02,0.069,0.009
166,Organic,Passive,26.2,16.4,0,Flake,Allograft Heterotopic,Breast,0.175,0.21,5,20,0.53,0.23,0.64,0.09,0.55,60,4,0.02,0.0105,0.02,0.138,0.0053
167,Organic,Passive,21.9,9.46,0,Flake,Allograft Heterotopic,Breast,0.175,0.21,5,20,0.42,0.45,0.52,0.001,0.059,20,2.2,0.02,0.0105,0.02,0.05,0.003
168,Organic,Active,27,0.08,0,Flake,Allograft Heterotopic,Breast,0.175,0.21,5,20,0.98,0.41,1.18,0.075,0.55,66,3.8,0.02,0.0105,0.02,0.128,0.016
169,Organic,Passive,90,30,0,Flake,Allograft Orthotopic,Skin,0.2,0.24,50,19,6.93,1.88,8.07,3.7,9.5,0.05,2,0.02,0.0126,0.02,0.23,0.045
170,Organic,Passive,27.7,9.46,0,Flake,Xenograft Heterotopic,Brain,0.06,0.072,5,20,0.24,0.15,0.3,0.015,0.45,66,5,0.02,0.0036,0.02,0.093,0.005
171,Organic,Active,32.9,5,0,Flake,Xenograft Heterotopic,Brain,0.06,0.072,5,20,0.47,0.17,0.56,0.035,0.29,72,5,0.02,0.0036,0.02,0.18,0.0023
172,Organic,Active,27,0.08,0,Flake,Allograft Heterotopic,Breast,0.175,0.21,5,20,0.99,0.28,1.06,0.46,0.37,6,0.3,0.02,0.0105,0.02,0.095,0.0044
173,Organic,Passive,21.9,9.46,0,Flake,Allograft Heterotopic,Breast,0.175,0.21,5,20,0.64,0.43,0.75,0.005,0.055,32,3.5,0.02,0.0105,0.02,0.083,0.0029
174,Organic,Passive,200,NA,NA,Rod,Xenograft Heterotopic,Brain,0.25,0.3,0.04,25,0.77,0.25,0.85,0.46,1.1,24,0.6,0.02,0.012,0.02,0.051,0.0013
175,Organic,Active,200,NA,NA,Rod,Xenograft Heterotopic,Brain,0.25,0.3,0.04,25,1.26,0.43,1.44,0.23,0.39,12,0.7,0.02,0.012,0.02,0.095,0.0016
176,Organic,Passive,200,NA,NA,Rod,Xenograft Heterotopic,Brain,0.25,0.3,0.04,25,1.14,0.38,1.29,0.24,0.47,20,0.5,0.02,0.012,0.02,0.085,0.00127
177,Organic,Active,200,NA,NA,Rod,Xenograft Heterotopic,Brain,0.25,0.3,0.04,25,3.59,1.18,3.97,0.24,0.49,24,0.4,0.02,0.012,0.02,0.264,0.0053
178,Organic,Passive,96.4,59.4,0,Spherical,Xenograft Orthotopic,Cervix,0.5,0.6,1220,21,1.26,1.77,2.2,0.004,0.205,48,0.1,0.01,0.0286,0.02,0.029,0.018
179,Organic,Passive,79.1,36.1,0,Spherical,Allograft Orthotopic,Breast,0.08,0.096,6,23,0.13,0.14,0.17,0.001,0.035,0.1,2,0.02,0.0042,0.02,0.031,0.00056
180,Organic,Passive,79.1,36.1,0,Spherical,Other,Breast,0.07,0.084,6,23,0.39,0.38,0.47,5.00E-04,0.055,6,0.05,0.02,0.0037,0.02,0.115,0.00045
181,Organic,Active,386,20,1,Spherical,Allograft Heterotopic,Breast,0.6,0.72,13.09,27,1.68,0.54,1.73,0.09,0.1,72,0.5,0.02,0.0262,0.02,0.078,0.0035
182,Organic,Passive,120,0,2,Spherical,Allograft Orthotopic,Breast,NA,0.17,50,20,0.84,0.5,1.14,0.08,0.2,72,2,0.02,0.0085,0.02,0.205,0.0002
183,Organic,Passive,25,3,0,Spherical,Xenograft Heterotopic,Kidney,0.065,0.078,740.74,27,0.1,0.03,0.12,0.55,0.3,30,5,0.02,0.0029,0.02,0.045,0.01
184,Organic,Passive,51,4,0,Spherical,Xenograft Heterotopic,Kidney,0.065,0.078,740.74,27,0.06,0.02,0.06,0.14,0.185,18,0.7,0.02,0.0029,0.02,0.0205,0.004
185,Organic,Passive,93,6,0,Spherical,Xenograft Heterotopic,Kidney,0.065,0.078,740.74,27,0.07,0.03,0.1,0.12,0.28,8,1.5,0.02,0.0029,0.02,0.0195,0.004
186,Organic,Active,225,NA,NA,Spherical,Allograft Heterotopic,Colon,0.27,0.324,11.11,23,0.75,0.99,1.1,0.005,0.62,96,2.2,0.02,0.0144,0.02,0.076,0.0005
187,Organic,Passive,168,NA,NA,Spherical,Allograft Heterotopic,Colon,0.27,0.324,11.11,23,0.58,0.41,0.65,0.005,0.19,96,1.8,0.02,0.0144,0.02,0.056,0.00074
188,Organic,Passive,118,0,2,Spherical,Allograft Heterotopic,Colon,0.06,0.072,15,19.5,0.53,0.15,0.61,0.2,0.1,72,5,0.02,0.0037,0.02,0.215,0.0004
189,Organic,Passive,200,2,0,Spherical,Xenograft Heterotopic,Other,0.4,0.48,145.45,27,0.82,0.23,0.96,0.005,0.01,72,5,0.02,0.0175,0.02,0.065,0.003
190,Organic,Passive,100,0,2,Spherical,Xenograft Orthotopic,Skin,1.25,1.25,1,21,1.4,0.55,1.59,0.015,0.4,96,5,0.05,0.0595,0.02,0.034,0.0005
191,Organic,Active,200.8,14,0,Spherical,Allograft Heterotopic,Breast,0.125,0.15,10,19,0.03,0.09,0.11,0.005,1,6,5,0.015,0.0079,0.02,0.3,0.000005
192,Organic,Active,217.4,13.5,0,Spherical,Allograft Heterotopic,Breast,0.125,0.15,10,19,0.03,0.09,0.11,0.005,1,6,5,0.015,0.0079,0.02,0.3,0.0000049
193,Organic,Active,225.8,13.1,0,Spherical,Allograft Heterotopic,Breast,0.125,0.15,10,19,0.07,0.19,0.22,0.005,3,24,5,0.015,0.0079,0.02,5,0.0000103
194,Organic,Active,241.7,10.8,0,Spherical,Allograft Heterotopic,Breast,0.125,0.15,10,19,0.05,0.14,0.16,0.005,3,24,5,0.015,0.0079,0.02,0.1,0.0000078
195,Organic,Active,50,45,0,Spherical,Allograft Heterotopic,Liver,0.05,0.06,4.5,23,0.18,0.1,0.21,0.001,0.07,48,5,0.02,0.0027,0.02,0.092,0.00084
196,Organic,Passive,87.5,30,0,Spherical,Allograft Heterotopic,Liver,0.05,0.06,4,23,0.44,0.19,0.56,0.072,0.13,4,1.3,0.02,0.0027,0.02,0.145,0.00067
197,Organic,Passive,146,9,1,Spherical,Allograft Heterotopic,Liver,0.07,0.084,4,23,0.22,0.19,0.25,0.005,0.105,42,4,0.02,0.0037,0.02,0.09,0.000125
198,Organic,Active,138.5,9,1,Spherical,Allograft Heterotopic,Liver,0.07,0.084,4,23,0.26,0.11,0.3,0.04,0.09,42,5,0.02,0.0037,0.02,0.105,0.00022
199,Organic,Active,200,14.6,0,Spherical,Xenograft Heterotopic,Lung,0.2,0.24,1.5,20,0.23,0.69,0.87,0.006,3,180,2.7,0.02,0.012,0.02,0.03,0.0001
200,Organic,Passive,132.6,24.6,0,Spherical,Xenograft Heterotopic,Pancreas,0.15,0.18,0.75,20,1.08,0.3,1.3,0.4,0.4,72,5,0.02,0.009,0.02,0.165,0.04
201,Organic,Passive,179,22.3,0,Spherical,Xenograft Heterotopic,Pancreas,0.15,0.18,0.75,20,1.65,0.44,2,1,0.4,72,8,0.02,0.009,0.02,0.255,0.05
202,Organic,Active,230.8,18.1,0,Spherical,Xenograft Heterotopic,Pancreas,0.15,0.18,0.75,20,2.56,0.69,3.06,1,0.4,72,8,0.02,0.009,0.02,0.4,0.022
203,Organic,Passive,132,34.2,0,Spherical,Allograft Heterotopic,Liver,0.15,0.18,4,25,0.76,0.6,0.89,0.002,0.09,40,5,0.02,0.0072,0.02,0.146,0.00315
204,Organic,Passive,193,25.7,0,Spherical,Allograft Heterotopic,Liver,0.1,0.12,5,23,0.25,0.12,0.29,0.001,0.074,54,5,0.02,0.0053,0.02,0.065,0.00072
205,Organic,Passive,8,1.3,0,Spherical,Xenograft Orthotopic,Ovary,1.75,2.1,20,30,10.01,10.77,12.6,5.00E-04,0.038,2,1,0.02,0.07,0.02,0.165,0.022
206,Organic,negtive,6.6,1.46,0,Spherical,Xenograft Orthotopic,Ovary,1.75,2.1,40,30,4.09,1.49,4.75,5.00E-04,0.01,48,1,0.02,0.07,0.02,0.165,0.052
207,Organic,positive,6,2.28,1,Spherical,Xenograft Orthotopic,Ovary,1.75,2.1,20,30,10,10.77,12.59,5.00E-04,0.038,2,1,0.02,0.07,0.02,0.165,0.052
208,Organic,Passive,5.85,19.77,1,Spherical,Allograft Heterotopic,Colon,0.1,0.12,1,26,0.26,0.08,0.27,0.085,0.1,48,0.6,0.02,0.0046,0.02,0.066,0.0027
209,Organic,Passive,16.92,6.51,0,Spherical,Allograft Heterotopic,Colon,0.1,0.12,1,26,1.3,0.56,1.71,0.09,0.242,0.5,1,0.02,0.0046,0.02,0.179,0.001
210,Organic,Passive,5,NA,NA,Spherical,Xenograft Heterotopic,Cervix,0.9,1.08,8.29,21,2.81,1.94,3.31,0.005,0.157,60,3,0.02,0.051,0.02,0.076,0.027
211,Organic,Active,5,NA,NA,Spherical,Xenograft Heterotopic,Cervix,0.9,1.08,9.52,21,6.37,7.96,9.33,0.0039,0.32,132,1,0.02,0.051,0.02,0.153,0.018
212,Organic,Passive,95,36,0,Rod,Xenograft Heterotopic,Brain,0.02,0.24,0.05,20,0.06,0.03,0.08,0.005,0.01,84,6,0.02,0.012,0.02,0.011,0.0000115
213,Organic,Passive,16.4,19.2,0,Spherical,Xenograft Orthotopic,Ovary,1.75,2.1,20,30,6.01,2.34,6.91,5.00E-04,0.012,48,1,0.02,0.07,0.02,0.12,0.049
214,Organic,Passive,163,4.34,0,Rod,Allograft Heterotopic,Breast,0.1,0.12,10,20,3.52,1.26,4.02,0.092,0.3,0.5,0.1,0.02,0.006,0.02,0.39,0.05
215,Organic,Passive,221,4.34,0,Rod,Allograft Heterotopic,Breast,0.1,0.12,10,20,2.81,0.91,3.14,0.143,0.22,1,1,0.02,0.006,0.02,0.34,0.03
216,Organic,Passive,324,4.34,0,Rod,Allograft Heterotopic,Breast,0.1,0.12,10,20,2.43,0.78,2.7,0.15,0.215,0.5,0.9,0.02,0.006,0.02,0.295,0.01
217,Organic,Passive,402,4.34,0,Rod,Allograft Heterotopic,Breast,0.1,0.12,10,20,2.16,0.71,2.45,0.15,0.24,1,0.9,0.02,0.006,0.02,0.26,0.006
218,Organic,Passive,85.8,71.3,1,Spherical,Xenograft Heterotopic,Lung,0.075,0.09,50,20,0.14,0.04,0.17,0.16,0.24,72,5,0.02,0.0045,0.02,0.044,0.00052
219,Organic,Passive,134.7,0.6,1,Spherical,Xenograft Heterotopic,Lung,0.075,0.09,50,20,0.39,0.12,0.44,0.185,0.23,1.5,5,0.02,0.0045,0.02,0.065,0.0007
220,Organic,Active,168.2,0.8,0,Spherical,Xenograft Heterotopic,Lung,0.075,0.09,50,20,0.41,0.06,0.47,0.187,0.23,1.5,5,0.02,0.0045,0.02,0.07,0.00045
221,Organic,Passive,387,46.6,0,Spherical,Allograft Heterotopic,Other,,1.08,3.64,27,0.05,0.02,0.05,0.275,0.4,30,1,0.02,0.0393,0.02,0.0013,0.000049
222,Organic,Passive,164.7,30.5,0,Spherical,Xenograft Orthotopic,Brain,0.1,0.12,10,20,0.43,0.2,0.63,0.1,0.35,12,1.2,0.02,0.006,0.02,0.057,0.00061
223,Organic,Active,175.3,27.2,0,Spherical,Xenograft Orthotopic,Brain,0.1,0.12,10,20,0.61,0.22,0.72,0.185,0.35,24,1.2,0.02,0.006,0.02,0.107,0.00103
224,Organic,Passive,171.7,32.8,0,Spherical,Xenograft Orthotopic,Brain,0.1,0.12,10,20,0.54,0.23,0.72,0.121,0.36,24,1.2,0.02,0.006,0.02,0.088,0.00102
225,Organic,Active,186.9,29.5,0,Spherical,Xenograft Orthotopic,Brain,0.1,0.12,10,20,0.89,0.31,1,0.2,0.33,24,1,0.02,0.006,0.02,0.155,0.0025
226,Organic,Passive,134,NA,NA,Spherical,Allograft Heterotopic,Breast,0.1,0.12,5,19,0.03,0.01,0.03,1,0.1,72,5,0.02,0.0063,0.02,0.0065,0.000046
227,Organic,Active,158.2,18.1,0,Spherical,Allograft Orthotopic,Skin,0.1,0.12,10,23,1.33,0.35,1.57,6,1,0.5,5,0.02,0.0053,0.02,0.3,0.01
228,Organic,Active,147.6,20.5,0,Spherical,Allograft Orthotopic,Skin,0.1,0.12,10,23,2.03,0.54,2.39,4,3,0.01,5,0.02,0.0053,0.02,0.305,0.06
229,Organic,Passive,174,22.9,0,Spherical,Allograft Heterotopic,Breast,0.05,0.06,20,20,0.03,0.01,0.04,10,2,0.01,5,0.02,0.003,0.02,0.013,0.0015
230,Organic,Passive,98,3.4,0,Spherical,Xenograft Orthotopic,Breast,0.06,0.072,0.36,20,0.17,0.05,0.2,2,1,0.01,5,0.02,0.0036,0.02,0.046,0.0003
231,Organic,Passive,94,3.4,0,Spherical,Xenograft Orthotopic,Breast,0.06,0.072,0.36,20,0.78,0.21,0.9,1,2,1,5,0.02,0.0036,0.02,0.106,0.003
232,Organic,Passive,104,3.4,0,Spherical,Xenograft Orthotopic,Breast,0.06,0.072,0.36,20,1.2,0.33,1.39,1,2.5,1,5,0.02,0.0036,0.02,0.142,0.005
233,Organic,Passive,96,3.4,0,Spherical,Xenograft Orthotopic,Breast,0.06,0.072,0.36,20,2.65,0.72,3.03,0.95,4,0.01,5,0.02,0.0036,0.02,0.205,0.03
234,Organic,Passive,103,3.4,0,Spherical,Xenograft Orthotopic,Breast,0.06,0.072,0.36,20,7.3,2.06,8.27,0.75,6,0.01,5,0.02,0.0036,0.02,0.35,0.05
235,Organic,Active,185.9,24.7,0,Spherical,Allograft Heterotopic,Lung,0.06,0.072,13,20,0.16,0.04,0.19,0.5,0.005,24,0.1,0.02,0.0036,0.02,0.069,0.00033
236,Organic,Passive,176.6,23.1,0,Spherical,Allograft Heterotopic,Lung,0.06,0.072,13,20,0.07,0.02,0.09,0.4,0.005,4,1,0.02,0.0036,0.02,0.028,0.00014
237,Organic,Passive,108,2.3,0,Spherical,Allograft Heterotopic,Colon,0.1,0.12,3,20,1.22,0.65,2.15,0.095,0.7,6,5,0.02,0.006,0.02,0.08,0.0025
238,Organic,Passive,49.9,0.09,1,Spherical,Allograft Heterotopic,Colon,0.1,0.12,16,20,0.4,0.11,0.45,0.6,0.04,5,5,0.02,0.006,0.02,0.095,0.00032
239,Organic,Passive,NA,20,0,Spherical,Allograft Orthotopic,Breast,0.4,0.48,5,20,0.95,0.3,1.02,0.55,0.365,14,1.5,0.02,0.024,0.02,0.0465,0.00125
240,Organic,Active,NA,17,0,Spherical,Allograft Orthotopic,Breast,0.4,0.48,5,20,1.46,0.47,1.59,0.45,0.36,14,1.2,0.02,0.024,0.02,0.07,0.00143
241,Organic,Passive,157.7,17.4,0,Spherical,Allograft Orthotopic,Other,0.1,0.12,8,20,0.02,0.01,0.03,0.1,0.001,1,0.05,0.02,0.006,0.02,0.0047,0.009
242,Organic,Passive,NA,NA,NA,Spherical,Allograft Orthotopic,Breast,0.1,0.12,20,20,0.47,0.28,0.59,0.023,0.06,24,0.5,0.02,0.006,0.02,0.111,0.000183
243,Organic,Passive,230.4,NA,NA,Rod,Xenograft Heterotopic,Breast,0.1,0.12,5,23,6.58,2.39,7.73,0.103,0.22,1,1.7,0.02,0.0053,0.02,0.815,0.05
244,Organic,Passive,230.1,10,0,Rod,Xenograft Heterotopic,Breast,0.1,0.12,5,23,6.67,2.39,7.72,0.102,0.196,1,2.5,0.02,0.0053,0.02,0.865,0.05
245,Organic,Passive,241,0,2,Rod,Xenograft Heterotopic,Breast,0.1,0.12,5,23,6.04,2.21,7.22,0.107,0.205,2.3,2,0.02,0.0053,0.02,0.83,0.05
246,Organic,Active,242.3,3.8,1,Rod,Xenograft Heterotopic,Breast,0.1,0.12,5,23,14.53,6.2,18.48,0.093,0.22,4,2,0.02,0.0053,0.02,2.27,0.05
247,Organic,Active,240.3,10,0,Rod,Xenograft Heterotopic,Breast,0.1,0.12,5,23,14.59,6.34,18.76,0.092,0.22,4.6,1.9,0.02,0.0053,0.02,2.35,0.05
248,Organic,Active,206.4,20,0,Spherical,Xenograft Heterotopic,Colon,0.3,0.36,7,20,0.71,0.27,0.87,0.1,0.065,20,0.3,0.02,0.018,0.02,0.06,0.00025
249,Organic,Active,7.7,NA,NA,Spherical,Xenograft Heterotopic,Breast,0.05,0.06,1,25,6.05,1.92,7.13,0.435,3.5,1,2,0.02,0.0024,0.03,0.5,0.008
250,Organic,Active,7.7,NA,NA,Spherical,Xenograft Heterotopic,Breast,0.05,0.06,1,25,8.78,3.52,10.91,0.105,1.1,28,0.1,0.02,0.0024,0.03,1.35,0.03
251,Organic,Active,7.7,NA,NA,Spherical,Xenograft Heterotopic,Breast,0.05,0.06,1,25,11.04,4.66,13.83,0.088,0.85,28,0.1,0.02,0.0024,0.03,1.95,0.05
252,Organic,Passive,49.5,1.3,0,Spherical,Allograft Heterotopic,Colon,0.1,0.12,3,20,0.92,0.29,1,0.1,0.05,6,0.3,0.01,0.006,0.02,0.2,0.0013
253,Organic,Passive,115,20,0,Spherical,Allograft Heterotopic,Liver,0.02,0.024,6,34,0.01,0.003,0.02,0.5,0.005,48,0.1,0.01,0.0007,0.02,0.026,0.00025
254,Organic,Passive,103.9,15,0,Spherical,Allograft Heterotopic,Colon,0.07,0.084,159.6,20,0.29,0.08,0.33,0.6,0.065,0.1,1,0.02,0.0042,0.02,0.092,0.00028
255,Organic,Passive,102.5,39.5,0,Spherical,Allograft Heterotopic,Colon,0.07,0.084,70.9,20,0.24,0.07,0.28,0.6,0.04,0.1,1,0.02,0.0042,0.02,0.079,0.00025
256,Organic,Passive,35,4,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,5,20,0.28,0.09,0.34,0.05,0.2,72,5,0.02,0.006,0.02,0.065,0.005
257,Organic,Passive,100,4,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,5,20,0.78,1.63,2.32,0.01,0.32,10,2,0.02,0.006,0.02,0.092,0.00059
258,Organic,Passive,110,4,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,5,20,1.06,0.45,1.37,0.08,0.26,0.5,2,0.02,0.006,0.02,0.094,0.00135
259,Organic,Passive,100,4,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,5,20,1.07,0.44,1.36,0.082,0.25,0.5,2,0.02,0.006,0.02,0.097,0.00141
260,Organic,Passive,150,4,0,Spherical,Xenograft Heterotopic,Cervix,0.1,0.12,5,20,1.03,0.7,1.63,0.038,0.23,0.5,2,0.02,0.006,0.02,0.09,0.0007
261,Organic,Passive,107.8,NA,NA,Spherical,Allograft Heterotopic,Cervix,0.075,0.09,2,19,0.31,0.12,0.35,0.066,0.09,12,1,0.02,0.0047,0.02,0.075,0.00043
262,Hybrid,Passive,25,NA,NA,Other,Xenograft Heterotopic,Colon,0.25,0.3,0.0095,20,1.55,1.13,1.97,0.014,0.095,66,0.5,0.02,0.015,0.02,0.133,0.00085
263,Organic,Passive,115,31.8,0,Spherical,Allograft Heterotopic,Liver,0.1,0.12,8,20,0.08,0.03,0.08,0.1,0.1,36,0.9,0.02,0.006,0.03,0.0162,0.00012
264,Organic,Passive,113.3,10,1,Spherical,Allograft Orthotopic,Breast,0.175,0.21,10,19,0.24,0.06,0.28,3.5,0.25,24,2,0.02,0.011,0.02,0.03,0.00057
265,Organic,Active,NA,21.7,1,Spherical,Allograft Orthotopic,Breast,0.1,0.12,10,20,0.03,0.01,0.036,3.5,0.1,48,5,0.02,0.006,0.02,0.0067,0.0005
266,Organic,Passive,6.7,16.3,1,Spherical,Allograft Orthotopic,Other,0.1,0.12,1,20,4.09,3.79,5.47,0.008,0.139,84,0.4,0.02,0.006,0.02,0.69,0.025
267,Organic,Active,69.1,36.7,1,Spherical,Allograft Orthotopic,Other,0.1,0.12,1,20,15.02,14.37,18.75,0.005,0.115,84,0.4,0.02,0.006,0.02,2.998,0.12
268,Organic,Passive,180,34.4,1,Spherical,Allograft Heterotopic,Breast,0.275,0.33,9,20,0.24,0.06,0.28,3.5,0.24,24,0.1,0.02,0.0165,0.02,0.0193,0.00072
269,Organic,Passive,152,10.3,0,Spherical,Allograft Heterotopic,Liver,0.05,0.06,5,23,0.12,0.03,0.14,2.5,0.1,12,5,0.02,0.0027,0.02,0.062,0.00054
270,Organic,Active,157,8.8,0,Spherical,Allograft Heterotopic,Liver,0.05,0.06,5,23,0.23,0.06,0.26,2.5,0.13,12,2,0.02,0.0027,0.02,0.115,0.00078
271,Organic,Passive,135,NA,NA,Spherical,Allograft Orthotopic,Other,0.125,0.15,3,25,0.07,0.02,0.08,4,0.4,1,0.1,0.02,0.006,0.02,0.0145,0.002
272,Organic,Passive,154.6,NA,NA,Spherical,Allograft Orthotopic,Other,0.125,0.15,3,25,0.11,0.03,0.12,1.5,0.65,0.1,0.2,0.02,0.006,0.02,0.0192,0.0016
273,Organic,Passive,89,40,0,Spherical,Allograft Heterotopic,Breast,0.125,0.15,5,20,0.17,0.06,0.2,0.125,0.84,24,0.2,0.02,0.0075,0.03,0.0102,0.04
274,Organic,Passive,138,14,0,Spherical,Allograft Heterotopic,Breast,0.125,0.15,5,20,0.3,0.12,0.39,0.1,1.6,0.5,0.01,0.02,0.0075,0.03,0.0094,0.0007
275,Organic,Passive,128,5,1,Spherical,Allograft Heterotopic,Breast,0.125,0.15,5,20,0.42,0.18,0.59,0.1,1.65,1,0.5,0.02,0.0075,0.03,0.0092,0.005
276,Organic,Passive,20.4,3.91,1,Spherical,Allograft Heterotopic,Liver,0.15,0.18,5,23,0.01,0.003,0.01,0.3,0.62,48,5,0.02,0.0077,0.02,0.00193,0.000025
277,Organic,Passive,110,5.1,0,Spherical,Xenograft Heterotopic,Liver,0.25,0.3,2,25,0.16,0.07,0.22,0.106,1.6,12,0.4,0.02,0.012,0.03,0.00335,0.001
278,Organic,Active,111.3,6.2,0,Spherical,Xenograft Heterotopic,Liver,0.25,0.3,2,25,0.22,0.11,0.34,0.101,2.2,8,0.4,0.02,0.012,0.03,0.0036,0.0002
279,Organic,Passive,105.3,4.8,0,Spherical,Allograft Heterotopic,Colon,0.1,0.12,3,23,0.4,0.18,0.55,0.07,0.42,0.5,0.5,0.02,0.0053,0.02,0.03,0.01
280,Organic,Passive,143,0,2,Spherical,Xenograft Heterotopic,Liver,0.1,0.12,10,20,0.31,0.08,0.36,3.5,0.5,12,0.5,0.02,0.006,0.02,0.068,0.00084
281,Organic,Passive,145,0,2,Spherical,Xenograft Heterotopic,Liver,0.1,0.12,10,20,0.31,0.08,0.36,3.5,0.5,12,0.5,0.02,0.006,0.02,0.0678,0.00091
282,Organic,Active,148,0,2,Spherical,Xenograft Heterotopic,Liver,0.1,0.12,10,20,0.43,0.12,0.47,3,0.7,16,1,0.02,0.006,0.02,0.0925,0.00085
